Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
18.79,G00,G40,G80,,,,,2.23,0.31,0,,,4.03125,6.96875,258.40625,0,0,0,0,,0,,,,,,,,,,Face Milling
19.1,G91,G28,Z0,M19,,,,4.46,0.64,326.3538462,99.61538462,15.35384615,6.738461538,6.861538462,20.35384615,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
19.74,G28,X0,Y0,,,,,43.61,0.95,14142,0,0,80.13541667,45.42708333,15.64583333,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
20.69,G04,X1.0000,,,,,,31.02,2.14,0,0,0,6.265116279,14.42790698,15.71162791,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
22.83,G30,X0.0000,Y0.0000,,,,,9.28,0.57,0,0,0,9,16,16,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
23.4,G04,X1.0000,,,,,,5.25,0.3,570.8709677,0,0,11.67741935,16.93548387,15.96774194,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
23.7,G90,G17,G00,Y-31.5880,X-36.5740,,,45.53,1.01,17523.5,0,0,85.69607843,44.6372549,14.33333333,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
24.71,G04,X1.0000,,,,,,3.85,0.95,156.25,11.13541667,0.489583333,8.09375,4.010416667,14.125,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
25.66,G43,Z1.0000,H2,S1500,M3,,,1.95,0.64,14769.23077,1271.630769,27.24615385,5.492307692,3,23.35384615,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
26.3,G04,X1.0000,,,,,,2.85,0.94,0,1499,2.663157895,6,3,15.48421053,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
