Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
10.51,%,,,,,,,6.3,0.29,,,,4.966666667,21,16.03333333,0,0,0,0,,0,,,,,,,,,,
10.8,G91,G28,Z0,M19,,,,13.02,0.61,,64.83870968,6.483870968,4.5,21,16.5,0,0,0,0,0,0,0,,0,0,,0,0,,0,
11.41,G04,X1.0000,,,,,,68.41,3.32,,0,0,5.051051051,20.54354354,16.72372372,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
14.73,G90,G17,G00,X-31.5880,Y-36.5740,,,31.25,0.9,17222.63736,0,0,78.13186813,34.34065934,14.67032967,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
15.63,G04,X1.0000,,,,,,2.48,0.92,161.2903226,10.6344086,0.741935484,6.913978495,2.666666667,16.03225806,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
16.55,G43,Z1.0000,H2,S1500,M3,,,1.57,0.62,14761.90476,1238.698413,37.93650794,5.507936508,2.492063492,17.9047619,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
17.17,G04,X1.0000,,,,,,2.42,1.2,0,1499,3,6.247933884,2,18.74380165,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
18.37,Z-1.5000,,,,,,,3.32,1.79,75.73333333,1499,3,6.155555556,1.844444444,11.82777778,-31.588,-36.574,0,0,0,-1.5,-2.5,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
20.16,G04,X1.0000,,,,,,2.47,1.19,7.4,1499,3,5.975,2.058333333,18.83333333,-31.588,-36.574,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
21.35,Y30.0000,,,,,,,476.81,52.54,75.98553758,1504.316841,10.64681256,3.138915319,9.073453853,21.03920076,-31.588,30,0,66.574,66.574,-1.5,0,Climb,4.9,63.4,1.5,317.07,475.605,Cut with Feed,66.574,Face Milling
73.89,G04,X1.0000,,,,,,5.47,0.89,0,1499,2.022222222,14.88888889,6.077777778,24.98888889,-31.588,30,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
74.78,X-28.4130,Y31.5880,,,,,,34.78,2.97,75.74496644,1504,6.489932886,30.40268456,11.67114094,25.59731544,-28.413,31.588,3.175,1.588,3.549981549,-1.5,0,Climb,3.4,4.6,1.5,10.65,15.975,Cut with Feed,3.549981549,Face Milling
77.75,G04,X1.0000,,,,,,6.41,0.9,0,1499,2.021978022,9.318681319,7.043956044,21.31868132,-28.413,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
78.65,Y-31.5880,,,,,,,565.4,49.8,75.52700261,1502.14997,8.416583015,9.503111825,11.35113431,21.36739611,-28.413,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3,63.2,1.5,186.59,279.885,Cut with Feed,63.176,Face Milling
128.45,G04,X1.0000,,,,,,7.91,1.21,0,1499,1.270491803,6.459016393,6.483606557,15.02459016,-28.413,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
129.66,X-25.2380,,,,,,,14.35,2.43,75.68852459,1499.040984,8.282786885,27.32377049,5.881147541,15.55327869,-25.238,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.5,1.5,10.55,15.825,Cut with Feed,3.175,Face Milling
132.09,G04,X1.0000,,,,,,4.86,1.2,0,1501.396694,2.776859504,6.074380165,4.016528926,20.53719008,-25.238,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
133.29,Y31.5880,,,,,,,475.9,49.82,75.98474814,1502.056392,8.839454144,14.53983544,9.550471603,14.76419827,-25.238,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.65,288.975,Cut with Feed,63.176,Face Milling
183.11,G04,X1.0000,,,,,,6.43,0.91,0,1499,1.02173913,1.043478261,6.989130435,21.01086957,-25.238,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
184.02,X-22.0630,,,,,,,13.92,2.46,75.80161943,1502.684211,7.469635628,31.63562753,5.63562753,23.61133603,-22.063,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.5,1.5,10.42,15.63,Cut with Feed,3.175,Face Milling
186.48,G04,X1.0000,,,,,,8.68,1.18,7.663865546,1501.521008,3.067226891,13.2605042,7.294117647,18.28571429,-22.063,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
